title,author
The Invisible Life of Addie LaRue,V.E.  Schwab
The House in the Cerulean Sea,T.J. Klune
Project Hail Mary,Andy Weir
The Midnight Library,Matt Haig
I'm Glad My Mom Died,Jennette McCurdy
Piranesi,Susanna Clarke
The Vanishing Half,Brit Bennett
Fourth Wing,Rebecca Yarros
House of Earth and Blood,Sarah J. Maas
The Ballad of Songbirds and Snakes,Suzanne Collins
My Dark Vanessa,Kate Elizabeth Russell
Lessons in Chemistry,Bonnie Garmus
Beach Read,Emily Henry
A ​Court of Silver Flames,Sarah J. Maas
The Love Hypothesis,Ali Hazelwood
Malibu Rising,Taylor Jenkins Reid
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
Babel,R.F. Kuang
The Inheritance Games,Jennifer Lynn Barnes
American Dirt,Jeanine Cummins
The Four Winds,Kristin Hannah
Mexican Gothic,Silvia Moreno-Garcia
Book Lovers,Emily Henry
The Guest List,Lucy Foley
Under the Whispering Door,T.J. Klune
Heartstopper: Volume Three,Alice Oseman
Hamnet,Maggie O'Farrell
The Thursday Murder Club,Richard Osman
A Deadly Education,Naomi Novik
House of Sky and Breath,Sarah J. Maas
Crying in H Mart,Michelle Zauner
Sea of Tranquility,Emily St. John Mandel
Klara and the Sun,Kazuo Ishiguro
Caste: The Origins of Our Discontents,Isabel Wilkerson
Carrie Soto Is Back,Taylor Jenkins Reid
Remarkably Bright Creatures,Shelby Van Pelt
Loveless,Alice Oseman
One of Us Is Next,Karen M. McManus
Network Effect,Martha Wells
People We Meet on Vacation,Emily Henry
From Blood and Ash,Jennifer L. Armentrout
Heartstopper: Volume Four,Alice Oseman
The Glass Hotel,Emily St. John Mandel
Chain of Gold,Cassandra Clare
Bell Hammers,Lancelot Schaubert
Shuggie Bain,Douglas   Stuart
Transcendent Kingdom,Yaa Gyasi
Legendborn,Tracy Deonn
Untamed,Glennon Doyle
The Burning God,R.F. Kuang
The Maid,Nita Prose
Divine Rivals,Rebecca   Ross
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall
Writers & Lovers,Lily King
A Promised Land,Barack Obama
The Rose Code,Kate Quinn
Cemetery Boys,Aiden Thomas
These Violent Delights,Chloe Gong
Rule of Wolves,Leigh Bardugo
Cloud Cuckoo Land,Anthony Doerr
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson
Rhythm of War,Brandon Sanderson
Long Bright River,Liz    Moore
Firekeeper’s Daughter,Angeline Boulley
The Sun Down Motel,Simone St. James
The Empire of Gold,S.A. Chakraborty
The Mirror & the Light,Hilary Mantel
Greenlights,Matthew McConaughey
Ring Shout,P. Djèlí Clark
The Spanish Love Deception,Elena  Armas
The Girl with the Louding Voice,Abi Daré
The Book of Longings,Sue Monk Kidd
The Henna Artist,Alka Joshi
Felix Ever After,Kacen Callender
A Kingdom of Flesh and Fire,Jennifer L. Armentrout
A Psalm for the Wild-Built,Becky  Chambers
"Take a Hint, Dani Brown",Talia Hibbert
Demon Copperhead,Barbara Kingsolver
The Push,Ashley Audrain
Billy Summers,Stephen King
The City We Became,N.K. Jemisin
Dear Edward,Ann Napolitano
The Death of Vivek Oji,Akwaeke Emezi
One to Watch,Kate Stayman-London
The Anthropocene Reviewed,John Green
The Guncle,Steven  Rowley
Migrations,Charlotte McConaghy
Home Before Dark,Riley Sager
Clap When You Land,Elizabeth Acevedo
The Night Watchman,Louise Erdrich
The Hollow Places,T. Kingfisher
Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker
In a Holidaze,Christina Lauren
The Dictionary of Lost Words,Pip Williams
Oona Out of Order,Margarita Montimore
The Last Flight,Julie   Clark
Iron Flame,Rebecca Yarros
The Book of Lost Names,Kristin Harmel
The Book of Two Ways,Jodi Picoult
The Pull of the Stars,Emma Donoghue
28 Summers,Elin Hilderbrand
The Switch,Beth O'Leary
The Empress of Salt and Fortune,Nghi Vo
The Book of Lost Friends,Lisa Wingate
"Good Girl, Bad Blood",Holly  Jackson
Legends & Lattes,Travis Baldree
"Act Your Age, Eve Brown",Talia Hibbert
The Evening and the Morning,Ken Follett
The Winners,Fredrik Backman
To Sleep in a Sea of Stars,Christopher Paolini
All Boys Aren’t Blue,George M. Johnson
The Past,Kenneth   Thomas
"Beautiful World, Where Are You",Sally Rooney
The Atlas Six,Olivie Blake
The Lincoln Highway,Amor Towles
Black Sun,Rebecca Roanhorse
Fairy Tale,Stephen King
The Lost Apothecary,Sarah Penner
Yellowface,R.F. Kuang
Too Much and Never Enough: How My Family Created the World’s Most Dangerous Man,Mary L. Trump
Apples Never Fall,Liane Moriarty
Solutions and Other Problems,Allie Brosh
Harlem Shuffle,Colson Whitehead
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix
Six Crimson Cranes,Elizabeth Lim
The Present,Kenneth   Thomas
Iron Widow,Xiran Jay Zhao
The Maidens,Alex Michaelides
The Sentence,Louise Erdrich
Harrow the Ninth,Tamsyn Muir
Spoiler Alert,Olivia Dade
The Shadows,Alex North
Happy Place,Emily Henry
Code Name Hélène,Ariel Lawhon
The Man Who Died Twice,Richard Osman
The Travelers Within: Into The Unknown,Daniel Mode
Tress of the Emerald Sea,Brandon Sanderson
One Dark Window,Rachel Gillig
As Good As Dead,Holly  Jackson
Midnight Sun,Stephenie Meyer
The Woman in Me,Britney Spears
Redhead by the Side of the Road,Anne Tyler
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe
Love on the Brain,Ali Hazelwood
The Charm Offensive,Alison Cochrun
Concrete Rose,Angie Thomas
Things We Never Got Over,Lucy Score
The Last Train to Key West,Chanel Cleeton
Small Things Like These,Claire Keegan
Fangs,Sarah Andersen
Reminders of Him,Colleen Hoover
Rodham,Curtis Sittenfeld
Swimming in the Dark,Tomasz Jedrowski
Dial A for Aunties,Jesse Q. Sutanto
The Stolen Heir,Holly Black
The Space Between Worlds,Micaiah Johnson
Bloodmarked,Tracy Deonn
Our Missing Hearts,Celeste Ng
The Personal Librarian,Marie Benedict
The Reading List,Sara Nisha Adams
Come Tumbling Down,Seanan McGuire
Grown,Tiffany D. Jackson
If It Bleeds,Stephen King
Our Violent Ends,Chloe Gong
The Housemaid,Freida McFadden
One by One,Ruth Ware
Empire of the Vampire,Jay Kristoff
She Who Became the Sun,Shelley Parker-Chan
Heartstopper: Volume Five,Alice Oseman
Neon Gods,Katee Robert
The Premonition: A Pandemic Story,Michael   Lewis
Troubled Blood,Robert Galbraith
Ruthless Vows,Rebecca   Ross
Once There Were Wolves,Charlotte McConaghy
A Wizard’s Guide to Defensive Baking,T. Kingfisher
Betty,Tiffany   McDaniel
Any Way the Wind Blows,Rainbow Rowell
The Ballad of Never After,Stephanie Garber
The Hourglass Throne,K.D. Edwards
Leaving Isn't the Hardest Thing,Lauren  Hough
Afterlife,Julia Alvarez
Troy,Stephen Fry
The ​Crown of Gilded Bones,Jennifer L. Armentrout
The Witch's Heart,Genevieve Gornichec
The Only Good Indians,Stephen Graham Jones
"The Galaxy, and the Ground Within",Becky  Chambers
A Desolation Called Peace,Arkady Martine
Later,Stephen King
Still Life,Sarah Winman
The Lives of Saints,Leigh Bardugo
The Cartographers,Peng Shepherd
Blacktop Wasteland,S.A. Cosby
Matrix,Lauren Groff
Horse,Geraldine Brooks
The Heart Principle,Helen Hoang
A Flicker in the Dark,Stacy Willingham
The Answer Is…: Reflections on My Life,Alex Trebek
Finlay Donovan Is Killing It,Elle Cosimano
Boyfriend Material,Alexis  Hall
The Island of Missing Trees,Elif Shafak
The Once and Future Witches,Alix E. Harrow
Finding Me,Viola Davis
The Kitchen Front,Jennifer    Ryan
House of Hollow,Krystal Sutherland
Think Again: The Power of Knowing What You Don't Know,Adam Grant
Big Lies in a Small Town,Diane Chamberlain
The Hawthorne Legacy,Jennifer Lynn Barnes
Vagina Problems,Lara  Parker
I Must Betray You,Ruta Sepetys
The Final Gambit,Jennifer Lynn Barnes
How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith
The Chalice of the Gods,Rick Riordan
It Starts with Us,Colleen Hoover
Wrong Place Wrong Time,Gillian McAllister
The First to Die at the End,Adam Silvera
If I Never Met You,Mhairi McFarlane
The Gilded Ones,Namina Forna
The Dead Romantics,Ashley Poston
They Went Left,Monica Hesse
The Ink Black Heart,Robert Galbraith
Head Over Heels,Hannah Orenstein
The Sun and the Star: A Nico di Angelo Adventure,Rick Riordan
"Detransition, Baby",Torrey Peters
It Happened One Summer,Tessa Bailey
Delilah Green Doesn't Care,Ashley Herring Blake
The Only One Left,Riley Sager
The Bodyguard,Katherine Center
The Ickabog,J.K. Rowling
What You Wish For,Katherine Center
Killers of a Certain Age,Deanna Raybourn
When We Cease to Understand the World,Benjamín Labatut
The Mystery of Mrs. Christie,Marie Benedict
The Vanished Birds,Simon Jimenez
Razorblade Tears,S.A. Cosby
Across the Green Grass Fields,Seanan McGuire
Pretty Things,Janelle Brown
The Searcher,Tana French
Amari and the Night Brothers,B.B. Alston
Hotel Magnifique,Emily J. Taylor
Deathless Divide,Justina Ireland
Daughter of the Moon Goddess,Sue Lynn Tan
When No One Is Watching,Alyssa Cole
Notes on an Execution,Danya Kukafka
The People We Keep,Allison Larkin
A Good Neighborhood,Therese Anne Fowler
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran
No One Is Talking About This,Patricia Lockwood
The Plot,Jean Hanff Korelitz
The Happiest Man on Earth,Eddie Jaku
The One Hundred Years of Lenni and Margot,Marianne Cronin
Valentine,Elizabeth Wetmore
"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton
All the Stars and Teeth,Adalyn  Grace
The Echo Wife,Sarah Gailey
The Paper Palace,Miranda Cowley Heller
The Woman with the Blue Star,Pam Jenoff
The Bullet That Missed,Richard Osman
Bookshops & Bonedust,Travis Baldree
The Lost and Found Bookshop,Susan Wiggs
A Dowry of Blood,S.T. Gibson
The Covenant of Water,Abraham   Verghese
Yours Truly,Abby Jimenez
The Last Devil to Die,Richard Osman
A Burning,Megha Majumdar
Big Summer,Jennifer Weiner
The Library of Legends,Janie Chang
One Last Stop,Casey McQuiston
The Mountains Sing,Nguyễn Phan Quế Mai
All the Devils Are Here,Louise Penny
"Love, Theoretically",Ali Hazelwood
"Stamped: Racism, Antiracism, and You",Jason Reynolds
Lady Clementine,Marie Benedict
Olga Dies Dreaming,Xóchitl González
Paladin’s Grace,T. Kingfisher
Maame,Jessica George
Monsters Born and Made,Tanvi Berwah
My Government Means to Kill Me,Rasheed Newson
The Paris Library,Janet Skeslien Charles
Ember Queen,Laura Sebastian
Clytemnestra,Costanza Casati
"Friends, Lovers, and the Big Terrible Thing",Matthew  Perry
The Heaven & Earth Grocery Store,James   McBride
Hell Bent,Leigh Bardugo
Two Twisted Crowns,Rachel Gillig
The Adventures of Amina al-Sirafi,Shannon Chakraborty
Hollowpox: The Hunt for Morrigan Crow,Jessica Townsend
Sin Eater,Megan Campisi
The Final Girl Support Group,Grady Hendrix
Navigate Your Stars,Jesmyn Ward
Summer Snow: New Poems,Robert Hass
Gallant,V.E.  Schwab
The Knockout Queen,Rufi Thorpe
The Mercies,Kiran Millwood Hargrave
Life’s Too Short,Abby Jimenez
Practice Makes Perfect,Sarah       Adams
The Night Shift,Alex Finlay
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell
The Burning Girls,C.J. Tudor
Part of Your World,Abby Jimenez
Hani and Ishu’s Guide to Fake Dating,Adiba Jaigirdar
Postcolonial Love Poem,Natalie Díaz
The Writing Retreat,Julia Bartz
The Hand on the Wall,Maureen Johnson
My Evil Mother,Margaret Atwood
Twisted Games,Ana Huang
Her Last Flight,Beatriz Williams
The Lost Metal,Brandon Sanderson
Fugitive Telemetry,Martha Wells
The Illness Lesson,Clare Beams
Deacon King Kong,James   McBride
All the Dangerous Things,Stacy Willingham
War Lord,Bernard Cornwell
Happy-Go-Lucky,David Sedaris
Yes No Maybe So,Becky Albertalli
The Cousins,Karen M. McManus
Leviathan Falls,James S.A. Corey
Big Swiss,Jen Beagin
The Paris Hours,Alex George
Spare,Prince Harry
Jade Legacy,Fonda Lee
I Want You to Know We’re Still Here: A Post-Holocaust Memoir,Esther Safran Foer
Imaginary Museums: Stories,Nicolette Polek
The Bone Shard Daughter,Andrea Stewart
Cleopatra and Frankenstein,Coco Mellors
Demon in the Wood,Leigh Bardugo
To Wake the Giant: A Novel of Pearl Harbor,Jeff Shaara
The Operator,Gretchen Berg
Weather,Jenny Offill
Break Your Glass Slippers,Amanda Lovelace
A River Enchanted,Rebecca   Ross
Remote Control,Nnedi Okorafor
Five Survive,Holly  Jackson
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah
The Sweet Taste of Muscadines,Pamela Terry
Gleam,Raven Kennedy
The Last Graduate,Naomi Novik
The Lies That Bind,Emily Giffin
These Tangled Vines,Julianne MacLean
These Precious Days: Essays,Ann Patchett
All Rhodes Lead Here,Mariana Zapata
Riot Baby,Tochi Onyebuchi
LOVE OVER CAPPUCCINO,Mansi Modi
Fateful Destiny: An Epic Struggle to Change the Course of American History,Marshall Anders
Metaphysics of Sound,Nataša Pantović
Anshuman krit Saral Vastu Gyan,Anshuman Srivastav
My Dirty California,Jason Mosberg
All My Rage,Sabaa Tahir
Pickard County Atlas,Chris Harding Thornton
Bewilderment,Richard Powers
Winter’s Orbit,Everina Maxwell
The Likely Resolutions of Oliver Clock,Jane  Riley
The Colony,Audrey Magee
Well Played,Jen DeLuca
A Deal with the Elf King,Elise Kova
How the King of Elfhame Learned to Hate Stories,Holly Black
Conjure Women,Afia Atakora
The Second Mrs. Astor,Shana Abe
The Stardust Thief,Chelsea Abdullah
